feature,importance
MolLogP,0.15030410330079516
MolLogP_mean,0.1345979427041142
qed_max,0.08738499268077507
H2O_3DPSA,0.07946377936867192
CHCl3_3DPSA,0.07471775318643012
FractionCSP3_std,0.05602034869254339
HeavyAtomCount_std,0.054650305725697824
PC2,0.0414021875579672
PC1,0.030300543613479298
MolLogP_std,0.027417973253560126
qed,0.024813259335468345
RingCount_std,0.020496268944357993
MolWt_std,0.018653555926043643
FractionCSP3,0.018644789202240785
qed_std,0.016083229676387166
FractionCSP3_mean,0.013994128815999634
MolLogP_max,0.013829106202708349
qed_mean,0.013791244025552245
MolWt_max,0.012689607950751875
natural_ratio,0.010613842411095089
TPSA_std,0.010246726833084576
MolWt,0.00990864989397848
d_ratio,0.008150994511111195
HeavyAtomCount_max,0.007466028854417931
TPSA_mean,0.006774648305724568
TPSA,0.006139270961492592
MolWt_mean,0.005532800217670078
HeavyAtomCount_mean,0.005220637212134637
HeavyAtomCount,0.004978157189084849
n_methyl_ratio,0.004521450508261118
unique_ratio,0.004297439183902806
TPSA_max,0.0033727687723556143
NumHAcceptors,0.0030309558996753153
aromatic_ratio,0.0028023496377865887
NumHDonors_std,0.002343143281151514
NumHDonors,0.002278992530715492
NumHAcceptors_std,0.0021526260895738314
NumHAcceptors_max,0.0020149086837685246
NumHDonors_mean,0.0018813834652611295
NumHAcceptors_mean,0.0016324041096760031
RingCount,0.001331737850121283
RingCount_max,0.001316007728839309
FractionCSP3_max,0.00114761151199603
RingCount_mean,0.00113659801935082
NumHDonors_max,0.00045274617422626565
seq_len,0.0
