feature,importance
qed_max,0.1126492182340692
MolLogP_mean,0.09113944431438166
HeavyAtomCount_max,0.0729559693923768
RingCount_max,0.07074417553924243
MolLogP,0.06510440610787448
FractionCSP3_std,0.04235115833580494
HeavyAtomCount_std,0.03846483162659056
NumHAcceptors_std,0.03290570866973961
NumHAcceptors_max,0.03139069002559956
RingCount_std,0.028131563380798873
MolWt_max,0.021472675287548232
FractionCSP3,0.020458217518513695
HeavyAtomCount,0.020073771339786405
MolWt_std,0.01944910943069879
CHCl3_3DPSA,0.01883334414485623
MolLogP_std,0.018059938269502977
FractionCSP3_mean,0.017048788202159545
MolLogP_max,0.01678906923488659
HeavyAtomCount_mean,0.01668479122385821
TPSA_mean,0.015359159504227778
PC2,0.014538279844119269
H2O_3DPSA,0.01422239949598032
qed,0.013898873509948744
NumHAcceptors,0.01384568867711898
RingCount_mean,0.013558069298810819
MolWt,0.011794676976826261
MolWt_mean,0.011793622651192196
TPSA_std,0.011369416544980863
NumHDonors_mean,0.011056671453201595
PC1,0.011051906327552655
RingCount,0.009977148612961173
qed_std,0.009677164831801373
NumHDonors,0.008512579808559488
qed_mean,0.008184245897128302
natural_ratio,0.008092570255565293
TPSA_max,0.007775675067130257
TPSA,0.007000072804443976
unique_ratio,0.006682529223754126
aromatic_ratio,0.006437443402212332
NumHDonors_std,0.006307773908381076
n_methyl_ratio,0.005900211248765974
NumHDonors_max,0.005333147929323947
d_ratio,0.004680387785329539
NumHAcceptors_mean,0.004370264462469255
FractionCSP3_max,0.00387314279385678
seq_len,0.0
